Timestamp,Temperature (C),Humidity (%),Fan On,Humidifier On
2025-02-01 19:48:51,24.7,40.3,False,False
2025-02-01 19:48:56,24.7,40.4,False,False
2025-02-01 19:49:09,24.6,41.0,False,False
2025-02-01 19:49:21,24.7,42.3,False,False
2025-02-01 19:49:27,24.7,43.2,False,False
2025-02-01 19:49:32,24.8,44.0,False,False
2025-02-01 19:49:37,24.8,45.6,False,False
2025-02-01 19:49:42,24.8,47.3,False,False
2025-02-01 19:49:48,24.9,49.4,False,False
2025-02-01 19:49:53,25.0,50.7,False,False
2025-02-01 19:49:58,25.0,51.9,False,False
2025-02-01 19:50:18,25.3,54.4,False,False
2025-02-01 19:50:23,25.4,56.1,False,False
2025-02-01 19:50:28,25.5,57.1,False,False
2025-02-01 19:50:34,25.6,58.2,False,False
2025-02-01 19:50:39,25.6,59.1,False,False
2025-02-01 19:50:44,25.7,57.5,False,False
2025-02-01 19:50:50,25.8,56.1,False,False
2025-02-01 19:50:55,25.9,55.9,False,False
2025-02-01 19:51:00,26.0,55.2,False,False
2025-02-01 19:53:31,25.4,39.0,False,False
2025-02-01 19:53:36,25.3,39.0,False,False
2025-02-01 19:53:41,25.3,39.2,False,False
2025-02-01 19:53:47,25.3,39.7,False,False
2025-02-01 19:53:52,25.3,40.4,False,False
2025-02-01 19:53:57,25.3,41.2,False,False
2025-02-01 19:54:02,25.3,41.9,False,False
2025-02-01 19:54:08,25.3,42.6,False,False
2025-02-01 19:54:13,25.3,43.2,False,False
2025-02-01 19:54:18,25.4,44.3,False,False
2025-02-01 19:54:23,25.4,45.7,False,False
2025-02-01 19:54:29,25.5,47.2,False,False
2025-02-01 19:54:34,25.5,48.8,False,False
2025-02-01 19:54:39,25.6,50.1,False,False
2025-02-01 19:54:45,25.7,50.6,False,False
2025-02-01 19:54:50,25.7,51.6,False,False
2025-02-01 19:54:55,25.8,53.4,False,False
2025-02-01 19:55:00,25.9,54.7,False,False
2025-02-01 19:55:06,25.9,55.4,False,False
2025-02-01 19:55:11,26.0,55.2,False,False
2025-02-01 19:57:12,25.7,39.3,False,False
2025-02-01 19:57:17,25.7,39.6,False,False
2025-02-01 19:57:30,25.6,40.4,False,False
2025-02-01 19:57:35,25.6,41.6,False,False
2025-02-01 19:57:40,25.6,42.8,False,False
2025-02-01 19:57:45,25.6,43.9,False,False
2025-02-01 19:57:51,25.7,44.5,False,False
2025-02-01 19:57:56,25.7,44.9,False,False
2025-02-01 19:58:01,25.7,46.5,False,False
2025-02-01 19:58:06,25.8,48.2,False,False
2025-02-01 19:58:12,25.8,50.0,False,False
2025-02-01 19:58:17,25.9,51.3,False,False
2025-02-01 19:58:22,25.9,52.5,False,False
2025-02-01 19:58:28,26.0,54.1,False,False
2025-02-01 20:00:40,25.9,39.7,False,False
2025-02-01 20:00:45,25.9,39.9,False,False
2025-02-01 20:00:51,25.9,40.2,False,False
2025-02-01 20:00:56,25.8,40.8,False,False
2025-02-01 20:01:01,25.8,41.1,False,False
2025-02-01 20:01:07,25.8,41.5,False,False
2025-02-01 20:01:12,25.8,42.4,False,False
2025-02-01 20:01:17,25.9,43.5,False,False
2025-02-01 20:01:22,25.9,45.0,False,False
2025-02-01 20:01:28,25.9,46.3,False,False
2025-02-01 20:01:33,26.0,47.0,False,False
2025-02-01 20:01:38,26.0,47.9,False,False
2025-02-01 20:01:43,26.0,48.5,False,False
2025-02-01 20:05:40,25.0,41.8,False,False
2025-02-01 20:05:45,25.0,42.1,False,False
2025-02-01 20:05:50,25.0,42.6,False,False
2025-02-01 20:05:55,25.0,43.2,False,False
2025-02-01 20:06:01,25.0,43.5,False,False
2025-02-01 20:06:06,25.0,43.7,False,False
2025-02-01 20:06:11,25.1,43.9,False,False
2025-02-01 20:06:16,25.1,44.3,False,False
2025-02-01 20:06:22,25.1,45.7,False,False
2025-02-01 20:06:27,25.2,47.7,False,False
2025-02-01 20:06:32,25.2,49.1,False,False
2025-02-01 20:06:37,25.3,50.3,False,False
2025-02-01 20:06:43,25.4,51.8,False,False
2025-02-01 20:06:48,25.4,53.7,False,False
2025-02-01 20:06:53,25.5,55.1,False,False
2025-02-01 20:06:58,25.6,55.3,False,False
2025-02-01 20:07:04,25.7,56.5,False,False
2025-02-01 20:07:09,25.7,56.8,False,False
2025-02-01 20:07:14,25.8,55.5,False,False
2025-02-01 20:07:20,25.9,55.4,False,False
2025-02-01 20:07:25,26.0,56.4,False,False
2025-02-01 20:12:29,24.9,44.1,False,False
2025-02-01 20:12:34,24.9,44.1,False,False
2025-02-01 20:12:40,24.9,44.0,False,False
2025-02-01 20:12:45,24.9,44.7,False,False
2025-02-01 20:12:50,24.9,45.3,False,False
2025-02-01 20:12:56,25.0,45.9,False,False
2025-02-01 20:13:01,25.0,47.0,False,False
2025-02-01 20:13:06,25.0,47.8,False,False
2025-02-01 20:13:11,25.1,49.0,False,False
2025-02-01 20:13:17,25.1,50.6,False,False
2025-02-01 20:13:22,25.2,52.1,False,False
2025-02-01 20:13:27,25.2,53.5,False,False
2025-02-01 20:13:32,25.3,55.4,False,False
2025-02-01 20:13:38,25.4,57.1,False,False
2025-02-01 20:13:43,25.5,58.1,False,False
2025-02-01 20:13:48,25.5,58.1,False,False
2025-02-01 20:13:53,25.6,59.8,False,False
2025-02-01 20:13:59,25.7,60.3,False,False
2025-02-01 20:14:04,25.8,60.6,False,False
2025-02-01 20:14:09,25.8,60.0,False,False
2025-02-01 20:14:14,25.9,58.1,False,False
2025-02-01 20:14:20,26.0,56.1,False,False
2025-02-01 20:17:37,25.4,43.3,False,False
2025-02-01 20:17:43,25.4,43.4,False,False
2025-02-01 20:17:48,25.3,43.7,False,False
2025-02-01 20:17:53,25.3,44.7,False,False
2025-02-01 20:17:59,25.3,45.1,False,False
2025-02-01 20:18:04,25.4,45.8,False,False
2025-02-01 20:18:09,25.4,46.9,False,False
2025-02-01 20:18:14,25.4,48.5,False,False
2025-02-01 20:18:20,25.5,49.8,False,False
2025-02-01 20:18:25,25.5,50.7,False,False
2025-02-01 20:18:30,25.5,52.1,False,False
2025-02-01 20:18:35,25.6,53.5,False,False
2025-02-01 20:18:41,25.6,54.5,False,False
2025-02-01 20:18:46,25.7,55.9,False,False
2025-02-01 20:18:51,25.8,56.5,False,False
2025-02-01 20:18:56,25.8,57.4,False,False
2025-02-01 20:19:02,25.9,55.4,False,False
2025-02-01 20:19:07,26.0,54.2,False,False
2025-02-01 20:21:24,25.7,42.4,False,False
2025-02-01 20:21:29,25.7,42.5,False,False
2025-02-01 20:21:34,25.7,42.8,False,False
2025-02-01 20:21:40,25.6,43.2,False,False
2025-02-01 20:21:45,25.7,43.8,False,False
2025-02-01 20:21:50,25.6,44.8,False,False
2025-02-01 20:21:55,25.7,46.3,False,False
2025-02-01 20:22:01,25.7,47.5,False,False
2025-02-01 20:22:06,25.7,49.0,False,False
2025-02-01 20:22:11,25.8,50.5,False,False
2025-02-01 20:22:16,25.8,52.0,False,False
2025-02-01 20:22:22,25.8,53.0,False,False
2025-02-01 20:22:27,25.9,53.6,False,False
2025-02-01 20:22:32,26.0,55.9,False,False
2025-02-01 20:22:37,26.0,58.0,False,False
2025-02-01 20:26:39,25.2,42.8,False,False
2025-02-01 20:26:44,25.2,42.8,False,False
2025-02-01 20:26:49,25.2,43.1,False,False
2025-02-01 20:26:54,25.2,43.8,False,False
2025-02-01 20:27:00,25.2,44.4,False,False
2025-02-01 20:27:05,25.2,45.2,False,False
2025-02-01 20:27:10,25.3,45.9,False,False
2025-02-01 20:27:15,25.3,47.6,False,False
2025-02-01 20:27:21,25.3,49.0,False,False
2025-02-01 20:27:33,25.4,51.2,False,False
